Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Bases;Average Length;Status)	Barcode	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic Formulas	Lab Contact	Phage Type	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Date Entered	Release Date	Differences	ST	HC0 (indistinguishable)	HC2	HC5	HC10	HC20	HC50	HC100	HC200	HC400	HC900 (ceBG)	HC2000 (Super-lineage)	HC2600	HC2850 (subsp.)
SAL_EA6633AA	SH14-028	SRR3028781;ILLUMINA;Paired;;SRX1489266;407374298;257;SRA,GCF_001690035;Complete Genome;;;;;;Complete Genome,SRR3712208;ILLUMINA;Paired;;SRX1871996;;;SRA	SAL_EA6633AA	Food	ND/Others	food	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334672	SRS1211385	2015-12-22	2015-12-19	NaN	8108	8108	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6634AA	SH14-027	SRR3028780;ILLUMINA;Paired;;SRX1489265;416079696;258;SRA	SAL_EA6634AA	Food	ND/Others	food	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334671	SRS1211386	2015-12-22	2015-12-19	NaN	8114	8114	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6635AA	SH14-026	SRR3028779;ILLUMINA;Paired;;SRX1489264;387717284;254;SRA	SAL_EA6635AA	Food	ND/Others	food	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334670	SRS1211387	2015-12-22	2015-12-19	NaN	8113	8113	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6636AA	SH14-025	SRR3028778;ILLUMINA;Paired;;SRX1489263;357916480;254;SRA	SAL_EA6636AA	Food	ND/Others	food	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334669	SRS1211388	2015-12-22	2015-12-19	NaN	8108	8108	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6637AA	SH14-024	SRR3028777;ILLUMINA;Paired;;SRX1489262;375653816;257;SRA	SAL_EA6637AA	Food	ND/Others	food	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334668	SRS1211389	2015-12-22	2015-12-19	NaN	8108	8108	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6638AA	SH14-023	SRR3028776;ILLUMINA;Paired;;SRX1489261;372555000;255;SRA	SAL_EA6638AA	Food	ND/Others	food	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334667	SRS1211390	2015-12-22	2015-12-19	NaN	8108	8108	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6639AA	SH14-022	SRR3028775;ILLUMINA;Paired;;SRX1489260;409991920;260;SRA	SAL_EA6639AA	Food	ND/Others	food	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334666	SRS1211391	2015-12-22	2015-12-19	NaN	8108	8108	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6640AA	SH14-021	SRR3028774;ILLUMINA;Paired;;SRX1489259;406578112;257;SRA	SAL_EA6640AA	Food	ND/Others	food	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334665	SRS1211393	2015-12-22	2015-12-19	NaN	8108	8108	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6641AA	SH14-020	SRR3028773;ILLUMINA;Paired;;SRX1489258;397021230;255;SRA	SAL_EA6641AA	Food	ND/Others	food	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334664	SRS1211392	2015-12-22	2015-12-19	NaN	8112	8108	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6642AA	SH14-019	SRR3028772;ILLUMINA;Paired;;SRX1489257;366033316;253;SRA	SAL_EA6642AA	Food	ND/Others	food	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334663	SRS1211394	2015-12-22	2015-12-19	NaN	8108	8108	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6643AA	SH14-018	SRR3028771;ILLUMINA;Paired;;SRX1489256;421383968;254;SRA	SAL_EA6643AA	Food	ND/Others	food	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334662	SRS1211395	2015-12-22	2015-12-19	NaN	8108	8108	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6644AA	SH14-017	SRR3028770;ILLUMINA;Paired;;SRX1489255;386709488;253;SRA	SAL_EA6644AA	Food	ND/Others	food	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334661	SRS1211396	2015-12-22	2015-12-19	NaN	8111	8111	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6645AA	SH14-016	SRR3028769;ILLUMINA;Paired;;SRX1489254;393089832;258;SRA	SAL_EA6645AA	Food	ND/Others	food	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334660	SRS1211397	2015-12-22	2015-12-19	NaN	8108	8108	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6646AA	SH14-015	SRR3028768;ILLUMINA;Paired;;SRX1489253;378790912;256;SRA	SAL_EA6646AA	Food	ND/Others	food	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334659	SRS1211398	2015-12-22	2015-12-19	NaN	8108	8108	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6647AA	SH14-014	SRR3028767;ILLUMINA;Paired;;SRX1489252;432537682;257;SRA	SAL_EA6647AA	Food	ND/Others	food	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334658	SRS1211399	2015-12-22	2015-12-19	NaN	8108	8108	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6648AA	SH14-013	SRR3028766;ILLUMINA;Paired;;SRX1489251;333604108;254;SRA	SAL_EA6648AA	Food	ND/Others	food	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334657	SRS1211400	2015-12-22	2015-12-19	NaN	8110	8110	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6649AA	SH14-012	SRR3028765;ILLUMINA;Paired;;SRX1489250;780071520;255;SRA	SAL_EA6649AA	Human	Human	Homo sapiens; human	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	ATHE-35		PRJNA305824	SRP067504	SAMN04334656	SRS1211401	2015-12-22	2015-12-19	NaN	8108	8108	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6650AA	SH14-011	SRR3028764;ILLUMINA;Paired;;SRX1489249;635274198;249;SRA	SAL_EA6650AA	Human	Human	Homo sapiens; human	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	17		PRJNA305824	SRP067504	SAMN04334655	SRS1211402	2015-12-22	2015-12-19	NaN	8108	8108	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6651AA	SH14-010	SRR3028763;ILLUMINA;Paired;;SRX1489248;621146878;253;SRA	SAL_EA6651AA	Human	Human	Homo sapiens; human	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	17		PRJNA305824	SRP067504	SAMN04334654	SRS1211403	2015-12-22	2015-12-19	NaN	8109	8109	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6652AA	SH14-009	GCF_001692655;Complete Genome;;;;;;Complete Genome,SRR3711296;ILLUMINA;Paired;;SRX1871171;;;SRA,SRR3028762;ILLUMINA;Paired;;SRX1489247;467123880;269;SRA	SAL_EA6652AA	Human	Human	Homo sapiens; human	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334653	SRS1211404	2015-12-22	2015-12-19	NaN	8108	8108	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6653AA	SH14-008	SRR3028761;ILLUMINA;Paired;;SRX1489246;490829108;253;SRA	SAL_EA6653AA	Human	Human	Homo sapiens; human	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334652	SRS1211405	2015-12-22	2015-12-19	NaN	8108	8108	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6654AA	SH14-007	SRR3028760;ILLUMINA;Paired;;SRX1489245;756841806;251;SRA	SAL_EA6654AA	Human	Human	Homo sapiens; human	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334651	SRS1211406	2015-12-22	2015-12-19	NaN	8108	8108	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6655AA	SH14-006	SRR3028759;ILLUMINA;Paired;;SRX1489244;692875414;253;SRA	SAL_EA6655AA	Human	Human	Homo sapiens; human	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334650	SRS1211407	2015-12-22	2015-12-19	NaN	8108	8108	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6656AA	SH14-005	SRR3028758;ILLUMINA;Paired;;SRX1489243;841801968;252;SRA	SAL_EA6656AA	Human	Human	Homo sapiens; human	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334649	SRS1211408	2015-12-22	2015-12-19	NaN	8108	8108	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6657AA	SH14-004	SRR3028757;ILLUMINA;Paired;;SRX1489242;790466196;247;SRA	SAL_EA6657AA	Human	Human	Homo sapiens; human	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334648	SRS1211409	2015-12-22	2015-12-19	NaN	8108	8108	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6658AA	SH14-003	SRR3028756;ILLUMINA;Paired;;SRX1489241;682973136;249;SRA	SAL_EA6658AA	Human	Human	Homo sapiens; human	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334647	SRS1211410	2015-12-22	2015-12-19	NaN	8108	8108	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6659AA	SH14-002	SRR3028755;ILLUMINA;Paired;;SRX1489240;666519216;249;SRA	SAL_EA6659AA	Human	Human	Homo sapiens; human	2014	8			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334646	SRS1211411	2015-12-22	2015-12-19	NaN	8108	8108	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6660AA	SH14-001	SRR3028754;ILLUMINA;Paired;;SRX1489239;411363408;269;SRA	SAL_EA6660AA	Human	Human	Homo sapiens; human	2014	7			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334645	SRS1211412	2015-12-22	2015-12-19	NaN	8107	8107	8107	8107	620	558	536	536	536	536	536	2	2	2
SAL_EA6661AA	SH13-008	SRR3028753;ILLUMINA;Paired;;SRX1489238;349616408;212;SRA	SAL_EA6661AA	Human	Human	Homo sapiens; human	2013	11			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	26		PRJNA305824	SRP067504	SAMN04334644	SRS1211413	2015-12-22	2015-12-19	NaN	8104	8104	8104	8104	8104	2652	536	536	536	536	536	2	2	2
SAL_EA6662AA	SH13-007	SRR3028752;ILLUMINA;Paired;;SRX1489237;434246592;208;SRA	SAL_EA6662AA	Human	Human	Homo sapiens; human	2013	11			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	26		PRJNA305824	SRP067504	SAMN04334643	SRS1211414	2015-12-22	2015-12-19	NaN	8106	8106	8104	8104	8104	2652	536	536	536	536	536	2	2	2
SAL_EA6663AA	SH13-006	SRR3028751;ILLUMINA;Paired;;SRX1489236;423243160;212;SRA,GCF_001692535;Complete Genome;;;;;;Complete Genome,SRR3711252;ILLUMINA;Paired;;SRX1871157;;;SRA	SAL_EA6663AA	Human	Human	Homo sapiens; human	2013	11			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	26		PRJNA305824	SRP067504	SAMN04334642	SRS1211415	2015-12-22	2015-12-19	NaN	8105	8105	8104	8104	8104	2652	536	536	536	536	536	2	2	2
SAL_EA6664AA	SH13-005	SRR3028750;ILLUMINA;Paired;;SRX1489235;374223526;193;SRA	SAL_EA6664AA	Human	Human	Homo sapiens; human	2013	11			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	26		PRJNA305824	SRP067504	SAMN04334641	SRS1211416	2015-12-22	2015-12-19	NaN	8104	8104	8104	8104	8104	2652	536	536	536	536	536	2	2	2
SAL_EA6665AA	SH13-004	SRR3028749;ILLUMINA;Paired;;SRX1489234;290019816;212;SRA,SRR3711286;ILLUMINA;Paired;;SRX1871167;;;SRA,GCF_001692635;Complete Genome;;;;;;Complete Genome	SAL_EA6665AA	Human	Human	Homo sapiens; human	2013	11			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	26		PRJNA305824	SRP067504	SAMN04334640	SRS1211417	2015-12-22	2015-12-19	NaN	8104	8104	8104	8104	8104	2652	536	536	536	536	536	2	2	2
SAL_EA6666AA	SH13-003	SRR3028748;ILLUMINA;Paired;;SRX1489233;341058774;219;SRA	SAL_EA6666AA	Human	Human	Homo sapiens; human	2013	11			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	26		PRJNA305824	SRP067504	SAMN04334639	SRS1211418	2015-12-22	2015-12-19	NaN	8104	8104	8104	8104	8104	2652	536	536	536	536	536	2	2	2
SAL_EA6667AA	SH13-002	SRR3028747;ILLUMINA;Paired;;SRX1489232;376255980;213;SRA	SAL_EA6667AA	Human	Human	Homo sapiens; human	2013	11			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	26		PRJNA305824	SRP067504	SAMN04334638	SRS1211419	2015-12-22	2015-12-19	NaN	8104	8104	8104	8104	8104	2652	536	536	536	536	536	2	2	2
SAL_EA6668AA	SH13-001	SRR3028746;ILLUMINA;Paired;;SRX1489231;680519280;210;SRA	SAL_EA6668AA	Human	Human	Homo sapiens; human	2013	11			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	26		PRJNA305824	SRP067504	SAMN04334637	SRS1211420	2015-12-22	2015-12-19	NaN	8104	8104	8104	8104	8104	2652	536	536	536	536	536	2	2	2
SAL_EA6669AA	SH12-010	SRR3028745;ILLUMINA;Paired;;SRX1489230;354562256;206;SRA	SAL_EA6669AA	Food	ND/Others	food	2012	5			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334636	SRS1211421	2015-12-22	2015-12-19	NaN	8100	8100	3265	930	930	558	536	536	536	536	536	2	2	2
SAL_EA6670AA	SH12-009	SRR3028744;ILLUMINA;Paired;;SRX1489229;412488960;208;SRA	SAL_EA6670AA	Food	ND/Others	food	2012	5			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334635	SRS1211422	2015-12-22	2015-12-19	NaN	8100	8100	3265	930	930	558	536	536	536	536	536	2	2	2
SAL_EA6671AA	SH12-008	SRR3028743;ILLUMINA;Paired;;SRX1489228;405250938;207;SRA	SAL_EA6671AA	Human	Human	Homo sapiens; human	2012	5			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334634	SRS1211423	2015-12-22	2015-12-19	NaN	8100	8100	3265	930	930	558	536	536	536	536	536	2	2	2
SAL_EA6672AA	SH12-007	SRR3684194;ILLUMINA;Paired;;SRX1855027;;;SRA,SRR3028742;ILLUMINA;Paired;;SRX1489227;448182480;205;SRA,GCF_001689935;Complete Genome;;;;;;Complete Genome	SAL_EA6672AA	Human	Human	Homo sapiens; human	2012	5			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334633	SRS1211424	2015-12-22	2015-12-19	NaN	8103	8103	3265	930	930	558	536	536	536	536	536	2	2	2
SAL_EA6673AA	SH12-006	SRR3028741;ILLUMINA;Paired;;SRX1489226;285869188;202;SRA	SAL_EA6673AA	Human	Human	Homo sapiens; human	2012	5			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334632	SRS1211425	2015-12-22	2015-12-19	NaN	8100	8100	3265	930	930	558	536	536	536	536	536	2	2	2
SAL_EA6674AA	SH12-005	SRR3028740;ILLUMINA;Paired;;SRX1489225;494431236;211;SRA	SAL_EA6674AA	Human	Human	Homo sapiens; human	2012	5			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334631	SRS1211426	2015-12-22	2015-12-19	NaN	8100	8100	3265	930	930	558	536	536	536	536	536	2	2	2
SAL_EA6675AA	SH12-004	SRR3028739;ILLUMINA;Paired;;SRX1489224;856211370;203;SRA	SAL_EA6675AA	Human	Human	Homo sapiens; human	2012	5			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334630	SRS1211428	2015-12-22	2015-12-19	NaN	8100	8100	3265	930	930	558	536	536	536	536	536	2	2	2
SAL_EA6676AA	SH12-003	GCF_001690005;Complete Genome;;;;;;Complete Genome,SRR3028738;ILLUMINA;Paired;;SRX1489223;402224128;214;SRA,SRR3684173;ILLUMINA;Paired;;SRX1855026;;;SRA	SAL_EA6676AA	Human	Human	Homo sapiens; human	2012	5			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334629	SRS1211427	2015-12-22	2015-12-19	NaN	8100	8100	3265	930	930	558	536	536	536	536	536	2	2	2
SAL_EA6677AA	SH12-002	SRR3028737;ILLUMINA;Paired;;SRX1489222;425499480;210;SRA	SAL_EA6677AA	Human	Human	Homo sapiens; human	2012	5			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334628	SRS1211429	2015-12-22	2015-12-19	NaN	8101	8101	3265	930	930	558	536	536	536	536	536	2	2	2
SAL_EA6678AA	SH12-001	SRR3028736;ILLUMINA;Paired;;SRX1489221;597135028;202;SRA	SAL_EA6678AA	Human	Human	Homo sapiens; human	2012	5			North America	Canada	Quebec						Heidelberg	I			Laboratoire de sante publique du Quebec	19		PRJNA305824	SRP067504	SAMN04334627	SRS1211430	2015-12-22	2015-12-19	NaN	8100	8100	3265	930	930	558	536	536	536	536	536	2	2	2
SAL_EA9709AA	N13-01290	SRR2898679;ILLUMINA;Paired;;SRX1418186;;;SRA,GCF_001441245;Complete Genome;;;;;;Complete Genome	SAL_EA9709AA	Food	Avian	turkey meat	2012	1			North America	Canada	Quebec						Heidelberg (predicted)	I			Laboratory for Foodborne Zoonoses	9		PRJNA298211	SRP064639	SAMN04156715	SRS1152296	2016-02-08	2015-11-09	NaN	5533	5533	5533	5533	5533	5533	536	536	536	536	536	2	2	2
SAL_EA9710AA	12-4374	GCF_001441225;Complete Genome;;;;;;Complete Genome,SRR2896022;ILLUMINA;Paired;;SRX1412950;;;SRA	SAL_EA9710AA	Human	Human	Homo sapiens; human stool	2012				North America	Canada	Quebec						Heidelberg (predicted)	I			Laboratory for Foodborne Zoonoses	41		PRJNA298211	SRP064639	SAMN04156727	SRS1147278	2016-02-08	2015-11-09	NaN	5532	5532	5532	930	930	558	536	536	536	536	536	2	2	2
SAL_EA9711AA	SA02DT10168701	SRR2598330;ILLUMINA;Paired;;SRX1321402;;;SRA,GCF_001441205;Complete Genome;;;;;;Complete Genome	SAL_EA9711AA	Food	Avian	chicken meat	2010				North America	Canada	Quebec						Heidelberg	I			Laboratory for Foodborne Zoonoses	29		PRJNA224116		SAMN04156749	SRS1109567	2016-02-08	2015-11-09	NaN	5531	5531	5531	5531	1382	558	536	536	536	536	536	2	2	2
SAL_FA8472AA	AMR588-04-00320	GCF_001692575;Complete Genome;;;;;;Complete Genome,SRR3685561;ILLUMINA;Paired;;SRX1855371;2158192964;97;SRA	SAL_FA8472AA	Poultry	Poultry	Chicken feces	2013	9			North America	Canada	Ontario						Heidelberg	I			National Microbiology Laboratory at Guelph			PRJNA298211	SRP064639	SAMN05263515	SRS1511428	2016-06-30	2016-06-23	NaN	58357	47398	47398	5531	1382	558	536	536	536	536	536	2	2	2
SAL_FA8473AA	AMR588-04-00318	GCF_001692595;Complete Genome;;;;;;Complete Genome,SRR3682071;ILLUMINA;Paired;;SRX1854148;1690616104;97;SRA	SAL_FA8473AA	Poultry	Poultry	Chicken feces	2013	9			North America	Canada	Ontario						Heidelberg	I			National Microbiology Laboratory at Guelph			PRJNA298211	SRP064639	SAMN05263514	SRS1511048	2016-06-30	2016-06-23	NaN	58364	47397	47397	5531	1382	558	536	536	536	536	536	2	2	2
SAL_GA0103AA	STM-A	SRR2000289;ILLUMINA;Paired;700;SRX1012256;1348268160;296;SRA	SAL_GA0103AA	Human	Human	Clinical, stool from 20 y.o. female	2011	5			North America	Canada	Saskatchewan				50.4156	-104.588	Typhimurium	I			University of Regina			PRJNA294243	SRP065444	SAMN03482998	SRS924063	2016-06-30	2015-11-01	NaN	7086	7086	373	373	373	373	147	48	2	2	2	2	2	2
SAL_GA0104AA	SWFL 14028	SRR1984701;ILLUMINA;Paired;700;SRX1003194;1629664848;292;SRA	SAL_GA0104AA	Food	Food	Unspecified food	2011	4			North America	Canada	Saskatchewan				50.4156	-104.588	Typhimurium	I			University of Regina			PRJNA294243	SRP065444	SAMN03482988	SRS916991	2016-06-30	2015-10-29	NaN	7086	7086	373	373	373	373	147	48	2	2	2	2	2	2
SAL_GA0106AA	STM-D	SRR2000501;ILLUMINA;Paired;700;SRX1012406;2012743404;294;SRA	SAL_GA0106AA	Human	Human	Clinical, stool from 19 y.o. female	2013	5			North America	Canada	Saskatchewan				50.4156	-104.588	Typhimurium	I			University of Regina			PRJNA294243	SRP065444	SAMN03483001	SRS924207	2016-06-30	2015-11-01	NaN	12024	12024	373	373	373	373	147	48	2	2	2	2	2	2
SAL_GA0107AA	14028	SRR2000450;ILLUMINA;Paired;700;SRX1012385;2300070984;291;SRA	SAL_GA0107AA	Human	Human	Clinical, stool from 5 y.o. male	2012	1			North America	Canada	Saskatchewan				50.4156	-104.588	Typhimurium	I			University pf Regina		Called 14028 but a natural isolate	PRJNA294243	SRP065444	SAMN03483000	SRS924181	2016-06-30	2015-11-01	NaN	41799	41799	41799	41799	15208	15208	147	48	2	2	2	2	2	2
SAL_GA0108AA	14028	SRR2000425;ILLUMINA;Paired;700;SRX1012363;1419803748;297;SRA	SAL_GA0108AA	Human	Human	Clinical, stool from 69 y.o. female	2011	9			North America	Canada	Saskatchewan				50.4156	-104.588	Typhimurium	I			University pf Regina		Called 14028 but a natural isolate	PRJNA294243	SRP065444	SAMN03482999	SRS924172	2016-06-30	2015-11-01	NaN	15571	15571	15571	15571	15571	15571	147	48	2	2	2	2	2	2
SAL_HA8923AA	AMR588-04-00437	GCF_001692615;Complete Genome;;;;;;Complete Genome,SRR3703074;ILLUMINA;Paired;;SRX1865281;;;SRA	SAL_HA8923AA	Poultry	Poultry	Chicken feces	2013	10			North America	Canada	Ontario						Heidelberg	I			National Microbiology Laboratory at Guelph			PRJNA224116		SAMN05263517	SRS1516047	2017-01-05	2016-07-22	NaN	58354	58354	58354	5531	1382	558	536	536	536	536	536	2	2	2
SAL_HA8924AA	A3ES40	GCF_001692555;Complete Genome;;;;;;Complete Genome,SRR3709723;ILLUMINA;Paired;;SRX1869809;;;SRA	SAL_HA8924AA	Food	ND/Others	food	2003				North America	Canada	British Columbia						Heidelberg	I			National Microbiology Laboratory at Guelph			PRJNA224116		SAMN05277889	SRS1520423	2017-01-05	2016-07-22	NaN	58356	58356	58356	58353	1382	558	536	536	536	536	536	2	2	2
SAL_HA8925AA	AMR588-04-00435	GCF_001692515;Complete Genome;;;;;;Complete Genome,SRR3703041;ILLUMINA;Paired;;SRX1865247;;;SRA	SAL_HA8925AA	Poultry	Poultry	Chicken feces	2013	10			North America	Canada	Ontario						Heidelberg	I			National Microbiology Laboratory at Guelph			PRJNA224116		SAMN05263516	SRS1516017	2017-01-05	2016-07-22	NaN	58354	58354	58354	5531	1382	558	536	536	536	536	536	2	2	2
SAL_HA8926AA	A3EZ223	SRR3709728;ILLUMINA;Paired;;SRX1869814;;;SRA,GCF_001692495;Complete Genome;;;;;;Complete Genome	SAL_HA8926AA	Human	Human	Homo sapiens; human	2003				North America	Canada	British Columbia						Heidelberg	I			National Microbiology Laboratory at Guelph			PRJNA224116		SAMN05277890	SRS1520424	2017-01-05	2016-07-22	NaN	58353	58353	58353	58353	1382	558	536	536	536	536	536	2	2	2
SAL_HA8927AA	09-036813-1A	GCF_001690135;Complete Genome;;;;;;Complete Genome,SRR3707411;ILLUMINA;Paired;;SRX1868471;;;SRA	SAL_HA8927AA	Livestock	Equine	Equus ferus caballus; Equine Body Fluid/Excretion	2009				North America	Canada	Ontario						Heidelberg (predicted)	I			National Microbiology Laboratory at Guelph			PRJNA224116		SAMN05263546	SRS1519261	2017-01-05	2016-07-21	NaN	58358	58358	58358	58358	58358	558	536	536	536	536	536	2	2	2
SAL_HA8928AA	SA02DT09004001	SRR3707447;ILLUMINA;Paired;;SRX1868487;;;SRA,GCF_001690115;Complete Genome;;;;;;Complete Genome	SAL_HA8928AA	Food	Avian	Chicken Meat	2009				North America	Canada	British Columbia						Heidelberg	I			National Microbiology Laboratory at Guelph			PRJNA224116		SAMN05263513	SRS1519277	2017-01-05	2016-07-21	NaN	58352	58352	6051	620	620	558	536	536	536	536	536	2	2	2
SAL_HA8930AA	CE-R2-11-0435	SRR3703080;ILLUMINA;Paired;;SRX1865286;;;SRA,GCF_001690075;Complete Genome;;;;;;Complete Genome	SAL_HA8930AA	Food	Avian	Chicken Meat	2011				North America	Canada	Ontario						Heidelberg	I			National Microbiology Laboratory at Guelph			PRJNA224116		SAMN05263538	SRS1516051	2017-01-05	2016-07-21	NaN	58351	58351	58351	58351	54065	558	536	536	536	536	536	2	2	2
